#: table_doi: 10.17182/hepdata.84819.v1/t1
#: name: Table 1
#: description: The ⟨TAA⟩ and ⟨Npart⟩ values and their uncertainties in each centrality bin.
#: data_file: Npart_Taa.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: N
#: keyword cmenergies: 5020.0
#: keyword phrases: InclInclusive
#: RE,,,PB PB --> X
#: SQRT(S) [GeV],,,5020.0
CENTRALITY [PERCENT],CENTRALITY [PERCENT] LOW,CENTRALITY [PERCENT] HIGH,<TAA> [1/MB],error +,error -
5.0,0.0,10.0,23.4,0.2,-0.2
15.0,10.0,20.0,14.3,0.18,-0.18
25.0,20.0,30.0,8.64,0.17,-0.17
35.0,30.0,40.0,4.94,0.15,-0.15
45.0,40.0,50.0,2.63,0.11,-0.11
55.0,50.0,60.0,1.28,0.07,-0.07
65.0,60.0,70.0,0.57,0.04,-0.04
75.0,70.0,80.0,0.22,0.02,-0.02

#: RE,,,PB PB --> X
#: SQRT(S) [GeV],,,5020.0
CENTRALITY [PERCENT],CENTRALITY [PERCENT] LOW,CENTRALITY [PERCENT] HIGH,<NPART>,error +,error -
5.0,0.0,10.0,358.8,2.2,-2.2
15.0,10.0,20.0,264.1,2.8,-2.8
25.0,20.0,30.0,189.2,2.8,-2.8
35.0,30.0,40.0,131.4,2.6,-2.6
45.0,40.0,50.0,87.0,2.3,-2.3
55.0,50.0,60.0,53.9,2.0,-2.0
65.0,60.0,70.0,30.6,1.6,-1.6
75.0,70.0,80.0,15.4,1.0,-1.0

