#: table_doi: 10.17182/hepdata.84819.v1/t11
#: name: Table 11
#: description: No description provided.
#: data_file: jetYields_c0_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: D2N/DPT/DYRAP
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,0-10 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,(1/TAA)(1/NEVT)*D2(NJET)/DPT/DYRAP [nb/GEV],sys +,sys -,stat +,stat -
113.0,100,126,0.5157,0.0489,-0.0475,0.0015,-0.0015
142.0,126,158,0.1537,0.0132,-0.0136,0.0005,-0.0005
179.0,158,200,0.04313,0.00357,-0.00355,0.00017,-0.00017
225.5,200,251,0.01134,0.00092,-0.00095,7e-05,-7e-05
283.5,251,316,0.002607,0.000221,-0.000228,3e-05,-3e-05
357.0,316,398,0.000567,4.5e-05,-4.7e-05,1.3e-05,-1.3e-05
449.5,398,501,0.00011,1e-05,-1.1e-05,5e-06,-5e-06
566.0,501,631,2.02e-05,1.5e-06,-1.6e-06,2e-06,-2e-06
715.5,631,800,2.6e-06,3e-07,-3e-07,7e-07,-7e-07
900.0,800,1000,5.2e-07,5e-08,-5e-08,2.7e-07,-2.7e-07

