#: table_doi: 10.17182/hepdata.84819.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: JES.yaml
#: keyword reactions: P P --> JETS X
#: keyword observables: PTRECO / PTTRUTH
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,pp
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,1.00757,0.00023,-0.00023
47.5,45,50,1.00564,0.00021,-0.00021
53.0,50,56,1.00417,0.00019,-0.00019
59.5,56,63,1.00272,0.00019,-0.00019
67.0,63,71,1.00188,0.00019,-0.00019
75.0,71,79,1.00075,0.00017,-0.00017
84.0,79,89,0.99999,0.00015,-0.00015
94.5,89,100,0.99904,0.00014,-0.00014
106.0,100,112,0.99845,0.00013,-0.00013
119.0,112,126,0.99801,0.00012,-0.00012
133.5,126,141,0.99779,0.00012,-0.00012
149.5,141,158,0.99755,0.00013,-0.00013
168.0,158,178,0.99753,0.0001,-0.0001
189.0,178,200,0.99724,9e-05,-9e-05
212.0,200,224,0.99715,9e-05,-9e-05
237.5,224,251,0.99704,9e-05,-9e-05
266.5,251,282,0.99695,9e-05,-9e-05
299.0,282,316,0.9967,0.0001,-0.0001
335.5,316,355,0.99656,0.0001,-0.0001
376.5,355,398,0.99618,0.00012,-0.00012
422.5,398,447,0.99628,6e-05,-6e-05
474.0,447,501,0.99632,6e-05,-6e-05
531.5,501,562,0.99628,7e-05,-7e-05
596.5,562,631,0.99656,8e-05,-8e-05
669.5,631,708,0.99666,9e-05,-9e-05
751.0,708,794,0.99709,0.00011,-0.00011
842.5,794,891,0.99799,5e-05,-5e-05
945.5,891,1000,0.99868,4e-05,-4e-05

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,0-10 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,1.0107,0.0016,-0.0016
47.5,45,50,1.0174,0.0011,-0.0011
53.0,50,56,1.0176,0.0009,-0.0009
59.5,56,63,1.0125,0.0008,-0.0008
67.0,63,71,1.0121,0.0007,-0.0007
75.0,71,79,1.0086,0.0006,-0.0006
84.0,79,89,1.0067,0.0005,-0.0005
94.5,89,100,1.0062,0.0005,-0.0005
106.0,100,112,1.0053,0.0004,-0.0004
119.0,112,126,1.0054,0.0004,-0.0004
133.5,126,141,1.0045,0.0004,-0.0004
149.5,141,158,1.005,0.0004,-0.0004
168.0,158,178,1.00432,0.00026,-0.00026
189.0,178,200,1.00418,0.00023,-0.00023
212.0,200,224,1.00377,0.00022,-0.00022
237.5,224,251,1.00394,0.00022,-0.00022
266.5,251,282,1.00409,0.00022,-0.00022
299.0,282,316,1.00351,0.00023,-0.00023
335.5,316,355,1.00356,0.00024,-0.00024
376.5,355,398,1.00345,0.00026,-0.00026
422.5,398,447,1.00293,0.00012,-0.00012
474.0,447,501,1.00303,0.00012,-0.00012
531.5,501,562,1.00354,0.00014,-0.00014
596.5,562,631,1.00343,0.00015,-0.00015
669.5,631,708,1.00359,0.00019,-0.00019
751.0,708,794,1.00473,0.00026,-0.00026
842.5,794,891,1,0,0
945.5,891,1000,1.00562,8e-05,-8e-05

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,10-20 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,1.0044,0.0012,-0.0012
47.5,45,50,1.007,0.0009,-0.0009
53.0,50,56,1.0074,0.0008,-0.0008
59.5,56,63,1.0047,0.0008,-0.0008
67.0,63,71,1.0036,0.0007,-0.0007
75.0,71,79,1.0027,0.0006,-0.0006
84.0,79,89,1.0025,0.0005,-0.0005
94.5,89,100,1.0011,0.0005,-0.0005
106.0,100,112,1.0008,0.0004,-0.0004
119.0,112,126,1.0019,0.0004,-0.0004
133.5,126,141,1.0008,0.0004,-0.0004
149.5,141,158,1.0009,0.0004,-0.0004
168.0,158,178,1.00119,0.00026,-0.00026
189.0,178,200,1.00091,0.00023,-0.00023
212.0,200,224,1.0009,0.00023,-0.00023
237.5,224,251,1.00143,0.00022,-0.00022
266.5,251,282,1.00159,0.00022,-0.00022
299.0,282,316,1.00095,0.00024,-0.00024
335.5,316,355,1.00105,0.00025,-0.00025
376.5,355,398,1.00137,0.00029,-0.00029
422.5,398,447,1.00129,0.00013,-0.00013
474.0,447,501,1.00166,0.00013,-0.00013
531.5,501,562,1.00173,0.00014,-0.00014
596.5,562,631,1.00192,0.00016,-0.00016
669.5,631,708,1.00312,0.00021,-0.00021
751.0,708,794,1.00319,0.00028,-0.00028
842.5,794,891,1.0043,0.0001,-0.0001
945.5,891,1000,1.00494,9e-05,-9e-05

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,20-30 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,1.0011,0.0012,-0.0012
47.5,45,50,1.0012,0.001,-0.001
53.0,50,56,1.001,0.0009,-0.0009
59.5,56,63,1.0012,0.0008,-0.0008
