#: table_doi: 10.17182/hepdata.84819.v1/t23
#: name: Table 23
#: description: No description provided.
#: data_file: raa_c4_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,40-50 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,RAA,sys +,sys -,stat +,stat -,sys TAA uncertainty +,sys TAA uncertainty -,sys luminosity uncertainty +,sys luminosity uncertainty -
53.0,50,56,0.612,0.019,-0.021,0.005,-0.005,0.0427,-0.0427,0.012,-0.012
59.5,56,63,0.64,0.013,-0.014,0.006,-0.006,0.0427,-0.0427,0.012,-0.012
66.5,63,70,0.661,0.012,-0.012,0.007,-0.007,0.0427,-0.0427,0.013,-0.013
74.5,70,79,0.682,0.011,-0.011,0.008,-0.008,0.0427,-0.0427,0.013,-0.013
84.0,79,89,0.702,0.01,-0.009,0.01,-0.01,0.0427,-0.0427,0.013,-0.013
94.5,89,100,0.733,0.009,-0.009,0.011,-0.011,0.0427,-0.0427,0.014,-0.014
106.0,100,112,0.738,0.009,-0.008,0.007,-0.007,0.0427,-0.0427,0.014,-0.014
118.5,112,125,0.744,0.008,-0.008,0.007,-0.007,0.0427,-0.0427,0.014,-0.014
133.0,125,141,0.766,0.008,-0.008,0.007,-0.007,0.0427,-0.0427,0.015,-0.015
149.5,141,158,0.784,0.007,-0.008,0.009,-0.009,0.0427,-0.0427,0.015,-0.015
167.5,158,177,0.776,0.008,-0.008,0.01,-0.01,0.0427,-0.0427,0.015,-0.015
188.0,177,199,0.801,0.009,-0.009,0.013,-0.013,0.0427,-0.0427,0.015,-0.015
225.0,199,251,0.836,0.007,-0.007,0.014,-0.014,0.0427,-0.0427,0.016,-0.016
324.5,251,398,0.848,0.008,-0.007,0.023,-0.023,0.0427,-0.0427,0.016,-0.016

