#: table_doi: 10.17182/hepdata.84819.v1/t29
#: name: Table 29
#: description: No description provided.
#: data_file: cov_stat_c1_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,10-20 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
100,100,0.1
100,112,0.6412
100,126,0.04904
100,141,0.2408
100,158,0.07188
100,178,0.0275
100,200,0.01768
100,224,0.0001538
100,251,0.001727
100,282,0.0002962
100,316,7.969e-05
100,355,2.889e-05
100,398,7.776e-07
100,447,1.609e-06
100,501,2.927e-07
100,562,8.626e-09
100,631,1.02e-08
112,100,0.6412
112,112,1.0
112,126,0.5465
112,141,0.1258
112,158,0.2269
112,178,0.03258
112,200,0.03623
112,224,0.01163
112,251,0.00217
112,282,0.001473
112,316,5.824e-05
112,355,8.087e-05
112,398,1.26e-05
112,447,2.595e-06
112,501,1.089e-06
112,562,1.017e-07
112,631,1.908e-08
126,100,0.04904
126,112,0.5465
126,126,1.0
126,141,0.5224
126,158,0.1678
126,178,0.2104
126,200,0.002706
126,224,0.03615
126,251,0.005925
126,282,0.002959
126,316,0.0009372
126,355,6.415e-05
126,398,5.991e-05
126,447,2.834e-06
126,501,2.566e-06
126,562,6.311e-07
126,631,1.096e-09
141,100,0.2408
141,112,0.1258
141,126,0.5224
141,141,1.0
141,158,0.484
141,178,0.2022
141,200,0.1797
141,224,0.01783
141,251,0.03065
141,282,0.001812
141,316,0.002755
141,355,0.0004966
141,398,0.0001104
141,447,3.421e-05
141,501,1.23e-06
141,562,2.083e-06
141,631,2.124e-07
158,100,0.07188
158,112,0.2269
158,126,0.1678
158,141,0.484
158,158,1.0
158,178,0.4387
158,200,0.2349
158,224,0.1472
158,251,0.03099
158,282,0.02446
158,316,0.001139
158,355,0.002221
158,398,0.0001663
158,447,9.872e-05
158,501,1.822e-05
158,562,3.523e-06
158,631,1.077e-06
178,100,0.0275
178,112,0.03258
178,126,0.2104
178,141,0.2022
178,158,0.4387
178,178,1.0
178,200,0.3926
178,224,0.2563
178,251,0.1185
178,282,0.03795
178,316,0.01821
178,355,0.002354
178,398,0.001689
178,447,8.428e-06
178,501,8.073e-05
178,562,5.723e-06
178,631,2.977e-06
200,100,0.01768
200,112,0.03623
200,126,0.002706
200,141,0.1797
200,158,0.2349
200,178,0.3926
200,200,1.0
200,224,0.3491
200,251,0.2637
200,282,0.09327
200,316,0.04211
200,355,0.01305
200,398,0.003228
200,447,0.001129
200,501,5.573e-05
200,562,5.744e-05
200,631,3.227e-07
224,100,0.0001538
224,112,0.01163
224,126,0.03615
224,141,0.01783
224,158,0.1472
224,178,0.2563
224,200,0.3491
224,224,1.0
224,251,0.3211
224,282,0.2643
224,316,0.069
224,355,0.04048
224,398,0.008638
224,447,0.003049
224,501,0.0008486
224,562,0.0001067
224,631,3.647e-05
251,100,0.001727
251,112,0.00217
251,126,0.005925
251,141,0.03065
251,158,0.03099
251,178,0.1185
251,200,0.2637
251,224,0.3211
251,251,1.0
251,282,0.2924
251,316,0.2743
251,355,0.05045
251,398,0.0411
251,447,0.005062
251,501,0.002869
251,562,0.0004952
251,631,0.0001208
282,100,0.0002962
282,112,0.001473
282,126,0.002959
282,141,0.001812
282,158,0.02446
282,178,0.03795
282,200,0.09327
282,224,0.2643
282,251,0.2924
282,282,1.0
282,316,0.2482
282,355,0.2652
282,398,0.02898
282,447,0.03667
282,501,0.003753
282,562,0.002834
282,631,0.0001833
316,100,7.969e-05
