#: table_doi: 10.17182/hepdata.84819.v1/t3
#: name: Table 3
#: description: No description provided.
#: data_file: JER.yaml
#: keyword reactions: P P --> JETS X
#: keyword observables: SiGMA(PTRECO / PTTRUTH)
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,pp
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
42.5,40,45,0.12742,0.00028,-0.00028
47.5,45,50,0.12057,0.00025,-0.00025
53.0,50,56,0.11402,0.00023,-0.00023
59.5,56,63,0.10804,0.00023,-0.00023
67.0,63,71,0.10349,0.00023,-0.00023
75.0,71,79,0.09877,0.0002,-0.0002
84.0,79,89,0.09413,0.00019,-0.00019
94.5,89,100,0.0907,0.00017,-0.00017
106.0,100,112,0.08686,0.00015,-0.00015
119.0,112,126,0.08367,0.00015,-0.00015
133.5,126,141,0.08062,0.00015,-0.00015
149.5,141,158,0.07804,0.00015,-0.00015
168.0,158,178,0.07576,0.00012,-0.00012
189.0,178,200,0.07363,0.00011,-0.00011
212.0,200,224,0.07188,0.00011,-0.00011
237.5,224,251,0.06962,0.00011,-0.00011
266.5,251,282,0.06832,0.00011,-0.00011
299.0,282,316,0.0665,0.00011,-0.00011
335.5,316,355,0.06491,0.00012,-0.00012
376.5,355,398,0.06364,0.00014,-0.00014
422.5,398,447,0.0624,7e-05,-7e-05
474.0,447,501,0.06113,7e-05,-7e-05
531.5,501,562,0.0596,7e-05,-7e-05
596.5,562,631,0.05866,8e-05,-8e-05
669.5,631,708,0.05772,0.0001,-0.0001
751.0,708,794,0.05674,0.00013,-0.00013
842.5,794,891,0.05591,6e-05,-6e-05
945.5,891,1000,0.05517,5e-05,-5e-05

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,0-10 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
42.5,40,45,0.3667,0.0021,-0.0021
47.5,45,50,0.3182,0.0014,-0.0014
53.0,50,56,0.2823,0.0012,-0.0012
59.5,56,63,0.2521,0.001,-0.001
67.0,63,71,0.2265,0.0008,-0.0008
75.0,71,79,0.2036,0.0007,-0.0007
84.0,79,89,0.1842,0.0006,-0.0006
94.5,89,100,0.1681,0.0006,-0.0006
106.0,100,112,0.154,0.0005,-0.0005
119.0,112,126,0.1404,0.0005,-0.0005
133.5,126,141,0.1285,0.0005,-0.0005
149.5,141,158,0.1184,0.0005,-0.0005
168.0,158,178,0.11004,0.00032,-0.00032
189.0,178,200,0.10275,0.00028,-0.00028
212.0,200,224,0.09599,0.00026,-0.00026
237.5,224,251,0.09056,0.00027,-0.00027
266.5,251,282,0.08497,0.00026,-0.00026
299.0,282,316,0.08109,0.00027,-0.00027
335.5,316,355,0.07609,0.00028,-0.00028
376.5,355,398,0.07286,0.00031,-0.00031
422.5,398,447,0.06978,0.00014,-0.00014
474.0,447,501,0.06744,0.00014,-0.00014
531.5,501,562,0.06475,0.00015,-0.00015
596.5,562,631,0.06243,0.00017,-0.00017
669.5,631,708,0.06095,0.00022,-0.00022
751.0,708,794,0.05916,0.00029,-0.00029
842.5,794,891,0.05695,0.0001,-0.0001
945.5,891,1000,0.05597,9e-05,-9e-05

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
