# Version 1.0
# DOI
# Source
# System PbPb5020
# Centrality 30 50
# XY PT RAA
# Label x y stat,low stat,high sys,low sys,high
10.8 0.415 0.00089 0.00089 0.0343 0.0343
13.2 0.457 0.0015 0.0015 0.0409 0.0409
16.8 0.506 0.0021 0.0021 0.0454 0.0454
21.6 0.557 0.0041 0.0041 0.0477 0.0477
26.4 0.6 0.0068 0.0068 0.0513 0.0513
32 0.644 0.0092 0.0092 0.0551 0.0551
38.4 0.684 0.013 0.013 0.059 0.059
44.8 0.746 0.015 0.015 0.064 0.064
54.4 0.803 0.013 0.013 0.069 0.069
67.2 0.785 0.015 0.015 0.068 0.068
80 0.823 0.018 0.018 0.072 0.072
95 0.847 0.024 0.024 0.074 0.074
