# Version 1.0
# DOI
# Source
# System PbPb5020
# Centrality 0 10
# XY PT RAA
# Label x y stat,low stat,high sys,low sys,high
10.8 0.187 0.00036 0.00036 0.0169 0.0169
13.2 0.225 0.00071 0.00071 0.0226 0.0226
16.8 0.275 0.001 0.001 0.0276 0.0276
21.6 0.315 0.0021 0.0021 0.0315 0.0315
26.4 0.35 0.0036 0.0036 0.0351 0.0351
32 0.396 0.0051 0.0051 0.0397 0.0397
38.4 0.446 0.0075 0.0075 0.0447 0.0447
44.8 0.509 0.0091 0.0091 0.05 0.05
54.4 0.57 0.008 0.008 0.0561 0.0561
67.2 0.601 0.012 0.012 0.06 0.06
80 0.671 0.013 0.013 0.066 0.066
95 0.743 0.02 0.02 0.074 0.074
