"A" "B" "C" "D"
0.329 2.909 0.208 4.161
0.475 4.79 0.755 2.217
0.031 3.445 1.234 2.851
0.645 2.085 0.008 2.379
0.944 2.706 0.338 4.736
1.5 2.764 1.01 4.935
1.128 4.287 1.806 3.653
0.923 3.645 0.898 0.573
1.61 2.234 0.907 0.693
1.313 2.074 1.968 2.532
1.656 1.416 0.309 1.714
1.77 1.613 1.538 3.982
1.552 3.815 0.076 2.926
0.144 1.49 0.436 3.203
0.619 4.008 0.183 1.403
1.504 0.903 1.379 1.5
1.88 4.149 1.516 2.638
0.805 1.004 0.392 4.289
0.406 0.662 0.839 1.869
1.859 2.385 1.692 1.57
1.06 0.541 0.568 2.488
1.284 1.768 0.045 3.189
0.983 1.656 0.293 0.933
1.437 4.892 0.654 2.99
0.695 3.775 1.275 4.874
1.098 2.208 1.782 4.659
1.964 3.021 0.496 2.067
0.052 3.171 0.433 2.359
1.37 4.635 0.604 1.335
1.241 0.6 1.424 3.287
0.514 2.479 1.631 0.802
1.155 4.939 1.325 2.226
0.361 3.409 1.9 2.144
0.458 4.759 1.454 3.429
0.752 1.043 1.766 1.636
1.741 4.032 1.176 1.124
1.588 1.234 0.73 4.398
0.261 4.389 0.671 3.89
1.9 3.702 0.797 3.761
1.973 2.311 1.13 2.822
0.17 3.545 0.966 0.969
0.892 1.312 1.057 0.623
1.178 3.935 1.951 1.954
0.093 1.84 1.348 1.778
0.799 4.191 0.112 3.117
0.124 1.875 1.597 3.53
1.203 2.885 1.651 0.795
0.837 1.394 1.158 4.845
0.538 3.102 1.918 3.808
0.202 2.596 0.982 4.573
1.704 3.296 1.729 4.061
1.357 3.253 0.145 1.232
1.413 4.59 1.209 4.434
0.578 4.525 1.495 1.275
1.831 0.851 0.812 2.744
1.028 4.423 0.551 4.549
0.277 1.93 0.529 1.029
0.391 0.785 1.099 3.596
1.679 2.642 0.238 4.215
0.724 1.144 1.865 3.377
