"A" "B" "C" "D"
0.384 11.913 0.039 16.915
0.609 5.226 0.597 8.049
0.869 15.99 0.637 18.846
0.879 16.836 0.345 7.699
0.347 7.602 0.248 6.982
0.353 15.273 0.962 8.403
0.981 8.759 0.688 10.488
0.438 5.844 0.854 11.705
0.193 19.233 0.272 12.199
0.009 12.185 0.668 9.321
0.45 17.104 0.099 8.84
0.849 9.535 0.362 6.015
0.667 10.597 0.975 11.354
0.495 13.472 0.385 5.013
0.726 19.648 0.47 13.789
0.713 9.923 0.878 18.115
0.267 6.246 0.151 15.104
0.597 11.234 0.017 9.652
0.307 9.243 0.741 5.684
0.291 18.441 0.411 18.153
0.536 19.586 0.613 7.53
0.421 15.07 0.848 18.897
0.694 14.316 0.315 19.371
0.517 5.536 0.548 17.098
0.076 12.777 0.917 14.729
0.761 8.722 0.127 17.435
0.963 13.727 0.186 12.941
0.159 18.554 0.724 13.374
0.136 16.293 0.431 6.305
0.943 15.699 0.764 12.598
0.111 11.5 0.122 10.034
0.234 10.937 0.492 19.839
0.922 8.234 0.568 16.336
0.039 13.094 0.286 15.806
0.551 18.044 0.939 14.164
0.804 6.811 0.209 11.99
0.067 6.979 0.517 10.933
0.794 14.401 0.823 6.595
0.201 7.721 0.799 16.238
0.644 17.517 0.067 15.488
