entry,px1,py1,pz1,mass1,charge1,px2,py2,pz2,mass2,charge2,px3,py3,pz3,mass3,charge3,px4,py4,pz4,mass4,charge4,px5,py5,pz5,mass5,charge5,px6,py6,pz6,mass6,charge6,px7,py7,pz7,mass7,charge7,px8,py8,pz8,mass8,charge8,px9,py9,pz9,mass9,charge9,px10,py10,pz10,mass10,charge10
10,-0.616,0.299,-0.052,0.14,1,27.432,-18.69,0.724,0.139,1,9.276,-5.23,-1.547,0.14,-1,-12.338,8.13,0.052,0.14,-1,-3.502,2.372,0.192,0.14,1,-0.979,0.589,-0.129,0.14,-1,-4.124,2.71,0.364,0,0,5.377,-2.68,0.146,0.035,0,-9.289,6.735,0.373,0.048,0,1.024,-2.01,-0.034,0,0
10,-11.801,1.83,7.249,0.14,-1,15.766,-2.405,-10.803,0.14,1,-8.112,1.408,5.752,0.14,-1,5.532,-0.882,-3.649,0.14,-1,7.042,-0.578,-4.585,0.14,1,-6.507,1.013,4.574,0.14,1,-10.477,1.156,6.959,0,0,4.028,-0.43,-2.54,0.031,0,-2.135,0.063,1.31,0.03,0,-0.343,0.386,0.688,0,0
10,4.771,15.664,-9.852,0.14,1,-2.703,-8.626,5.531,0.14,-1,3.335,12.899,-8.454,0.14,1,2.015,5.976,-4.214,0.14,-1,-1.809,-6.565,4.402,0.14,-1,-1.636,-4.915,2.691,0.14,1,0.463,1.311,-0.883,0,0,0.277,1.101,-0.811,0,0,0.388,1.042,-0.869,0.017,0,1.368,2.951,-1.008,0,0
10,3.903,-11.305,7.083,0.139,-1,-8.937,21.972,-14.287,0.14,-1,1.786,-5.103,2.966,0.14,-1,-0.186,0.38,-0.257,0.14,1,0.768,-1.557,1.111,0.14,1,-0.397,1.038,-0.679,0,0,-0.699,1.547,-1.052,0,0,0.383,-0.916,0.736,0,0,1.658,-2.7,1.878,0.027,0,-0.646,1.215,-0.722,0.101,0
10,6.54,-0.666,7.161,0.14,1,5.225,-0.802,4.939,0.14,-1,-1.988,0.348,-2.15,0.14,-1,-0.94,0.064,-0.985,0.14,1,8.069,-0.841,8.002,0.14,-1,-7.66,0.672,-7.727,0.139,1,-8.607,1.095,-8.869,0,0,-11.571,1.344,-12.42,0,0,1.244,0.182,1.003,0,0,1.187,-0.36,-0.229,0,0
10,7.029,21.214,3.034,0.14,-1,-3.361,-10.661,-2.039,0.14,-1,-3.168,-8.569,-1.065,0.14,1,-0.832,-2.023,-0.184,0.14,1,2.024,6.432,0.688,0.14,-1,0.057,0.83,0.205,0.013,0,0.169,0.883,0.195,0,0,0.041,1.831,0.289,0,0,-0.652,0.406,0.33,0,0,-4.85,-9.005,-1.379,0.004,0
10,-0.182,0.021,-0.137,0.14,-1,-0.142,-0.064,-0.115,0.14,1,3.62,0.227,2.101,0.14,1,4.925,-0.173,3.216,0.14,-1,-13.182,-0.081,-8.411,0.14,-1,18.793,0.75,11.769,0.14,1,-3.684,0.19,-2.299,0.03,0,-2.362,-0.068,-1.378,0,0,-5.499,0.202,-3.23,0,0,-0.666,-0.039,-0.499,0,0
10,-7.593,4.6,10.846,0.14,-1,-2.115,1.184,3.018,0.14,-1,3.68,-1.812,-5.416,0.14,1,3.119,-2.108,-5.459,0.14,-1,-1.128,0.62,1.888,0.14,1,-2.45,1.201,3.402,0,0,0.634,-0.409,-1.039,0,0,-6.737,4.129,10.739,0,0,-1.275,0.852,2.141,0,0,1.659,-1.207,-3.015,0.001,0
10,16.079,5.6,1.841,0.14,-1,-37.666,-15.174,-2.069,0.139,1,-1.294,-0.765,-0.216,0.14,-1,0.048,0.469,-0.189,0.14,1,-0.175,-0.498,-0.654,0.14,1,0.169,-0.675,-0.479,0.14,-1,22.172,10.791,1.763,0.01,0,0.293,-0.072,0.817,0,0,-1.07,-0.344,-0.575,0,0,-1.027,-1.411,-0.256,0,0
10,-1.391,3.983,-4.718,0.14,-1,-1.48,3.956,-4.735,0.14,1,4.34,-10.51,12.761,0.139,-1,-0.372,1.336,-1.616,0.14,-1,-0.284,1.161,-1.24,0.14,1,-0.175,0.393,-0.504,0.14,1,-0.047,0.272,-0.381,0.14,-1,-1.797,5.234,-6.497,0,0,-1.937,5.305,-6.203,0,0,-0.959,2.706,-3.528,0,0
10,0.224,-0.319,0.08,0.14,1,-1.592,2.688,-1.893,0.14,1,4.465,-9.074,7.506,0.14,-1,0.26,-0.481,0.601,0.14,1,-0.211,0.232,-0.356,0.14,-1,-13.762,23.836,-15.89,0,0,-2.746,6.288,-3.753,0,0,6.637,-12.807,9.523,0,0,2.253,-4.31,3.043,0.002,0,1.747,-3.476,2.693,0.002,0
10,5.89,-18.334,-16.052,0.14,1,1.462,-4.105,-3.244,0.14,-1,-1.855,4.872,4.587,0.14,1,0.991,-2.809,-2.576,0.14,1,-0.065,0.417,0.264,0.14,1,-1.703,6.673,5.98,0.14,-1,-4.557,12.192,10.487,0.14,-1,1.224,-3.993,-4.46,0.035,0,-1.796,2.916,3.2,0.031,0,-0.303,3.035,2.683,0.002,0
10,5.699,1.786,6.297,0.14,1,8.536,3.039,8.532,0.14,-1,-9.305,-3.499,-10.579,0.14,1,3.032,0.808,3.433,0.14,-1,0.946,0.258,0.958,0.14,-1,0.555,0.241,0.546,0,0,-11.454,-3.716,-11.847,0,0,-2.155,-0.712,-2.118,0,0,-1.253,-0.326,-1.139,0,0,1.259,-0.381,-0.244,0.001,0
10,21.714,13.813,10.019,0.14,1,-5.547,-3.914,-2.262,0.14,-1,-4.696,-3.099,-1.88,0.14,-1,-9.317,-5.828,-4.327,0.14,1,-9.741,-6.609,-4.71,0.14,1,-3.523,-1.746,-1.299,0.14,1,1.052,0.594,0.458,0.14,-1,-1.534,-0.46,-0.245,0.14,-1,3.109,1.951,1.502,0.002,0,6.687,3.953,3.008,0,0
10,5.112,-6.052,-5.712,0.14,1,2.155,-2.625,-2.234,0.14,-1,-4.41,5.339,5.577,0.14,-1,13.432,-17.638,-16.398,0.139,1,-6.052,6.957,7.044,0.14,1,-5.618,7.173,7.009,0.14,-1,-2.943,3.879,3.719,0.002,0,-0.726,1.068,0.974,0,0,-1.351,1.639,1.555,0,0,3.749,-5.495,-4.752,0.72,0
10,7.059,4.642,0.945,0.14,1,4.339,3.033,0.397,0.14,-1,4.551,3.488,0.679,0.14,1,-34.431,-24.283,-5.453,0.14,-1,2.25,1.554,0.349,0.14,1,0.275,0.121,0.04,0.14,-1,3.343,2.332,0.621,0,0,4.662,3.625,0.863,0.035,0,0.879,0.669,0.109,0,0,0.83,0.377,0.102,0,0
10,2.112,-3.716,0.24,0.14,-1,-10.083,13.724,-0.36,0.139,1,-0.367,2.435,0.502,0.14,-1,1.044,-1.315,0.35,0.14,1,-0.171,0.568,0.091,0.14,-1,-0.407,0.263,-0.099,0.14,1,-8.956,13.228,0.361,0,0,1.386,-2.378,0.133,0,0,1.065,-1.08,0.059,0,0,19.955,-39.662,-0.159,0,0
10,14.426,-5.043,-12.884,0.139,-1,6.567,-1.979,-4.984,0.14,1,6.388,-2.702,-5.436,0.14,-1,1.938,-0.769,-1.2,0.14,1,1.367,-1.169,-1.646,0.14,1,0.454,0.161,-0.275,0.14,1,-33.926,11.9,28.003,0,0,1.26,-0.103,-0.375,0,0,0.823,-0.552,-0.504,0,0,1.121,-0.847,-0.824,0.001,0
10,0.824,8.05,2.866,0.14,1,0.48,8.182,3.131,0.14,1,1.662,16.418,5.212,0.14,-1,-0.402,-4.521,-1.537,0.14,-1,-2.013,-17.93,-5.527,0.139,-1,-0.621,-4.78,-1.294,0.14,1,0.654,6.321,1.937,0,0,0.179,1.502,0.401,0.001,0,-1.289,-15.972,-5.544,0.059,0,-0.389,-0.689,-0.114,0,0
10,-3.562,11.763,4.274,0.14,1,9.465,-30.84,-10.187,0.14,1,-2.326,7.349,2.558,0.14,-1,-0.328,0.661,0.229,0.14,1,-0.564,1.824,0.791,0.14,-1,-0.648,2.037,0.669,0,0,-0.632,1.937,0.701,0.001,0,-1.192,3.352,1.076,0.001,0,-0.448,1.097,0.449,0,0,-2.608,5.533,1.814,0.036,0
10,0.84,-8.602,2.08,0.14,-1,-0.326,2.389,-0.796,0.14,1,-0.083,5.962,-1.024,0.14,-1,-0.155,-0.984,0.427,0.14,1,0.081,-0.497,-0.043,0.14,-1,0.192,-2.54,0.696,0,0,-0.314,13.263,-3.269,0,0,-0.646,9.765,-2.694,0.045,0,1.322,-15.623,3.878,0.493,0,-0.936,5.119,-0.842,0.032,0
10,2.407,4.395,0.316,0.14,1,9.651,11.921,1.646,0.14,-1,-15.656,-19.438,-4.836,0.14,1,1.301,1.36,0.17,0.14,1,-4.309,-5.966,-1.146,0.14,1,0.124,-0.173,-0.008,0.14,1,-0.62,-0.24,-0.56,0.14,-1,-2.394,-2.904,-1.069,0.14,-1,1.237,1.852,1.427,0,0,0.678,0.822,0.244,0,0
10,0.262,0.221,-0.226,0.14,-1,11.611,15.73,-11.439,0.14,1,0.289,0.422,-0.319,0.14,1,-0.449,-0.763,0.372,0.14,-1,3.89,5.426,-3.993,0.14,-1,0.583,0.873,-0.445,0.14,1,1.456,1.886,-1.266,0,0,-9.51,-13.56,9.092,0,0,9.48,9.647,-6.056,0.055,0,0.082,-1.108,0.505,0,0
10,8.739,-4.047,-7.138,0.14,1,-16.957,6.705,13.458,0.14,-1,-7.649,3.654,5.815,0.14,1,5,-2.141,-3.798,0.14,1,-7.078,2.885,5.834,0.14,-1,1.962,-1.078,-1.297,0.14,-1,-0.859,0.33,0.538,0,0,0.738,-0.389,-0.857,0,0,0.216,-0.101,-0.995,0,0,1.07,-0.324,-0.207,0,0
10,-18.614,4.941,-13.548,0.139,-1,-0.984,0.371,-0.737,0.14,1,-12.986,3.476,-8.88,0.139,1,4.74,-1.08,3.445,0.14,1,8.56,-2.108,5.845,0.14,-1,0.495,-0.104,0.325,0.14,-1,10.316,-2.854,7.536,0,0,6.245,-1.605,4.429,0.003,0,-0.758,0.427,-0.718,0.062,0,1.026,-0.31,-0.199,0,0
10,2.094,9.971,11.864,0.14,1,-3.924,-17.59,-21.169,0.14,-1,0.187,2.026,2.216,0.14,1,0.109,0.624,0.767,0.14,-1,-0.105,-1.457,-1.726,0.14,1,0.425,1.954,2.388,0,0,0.308,1.062,1.329,0,0,0.364,1.279,1.548,0,0,-1.598,-5.376,-6.431,0,0,-0.246,-1.625,-1.937,0,0
10,4.332,-0.603,-3.701,0.14,1,10.378,-1.616,-10.649,0.139,-1,2.753,-0.293,-2.611,0.14,-1,-2.65,0.227,2.403,0.14,1,-1.274,0.136,1.194,0.14,1,-5.533,0.764,5.616,0.14,-1,-7.282,0.915,6.861,0,0,-2.232,0.352,2.194,0,0,-4.368,0.61,4.224,0.002,0,0.82,0.264,-0.856,0,0
10,-13.579,3.816,5.955,0.14,-1,-16.413,4.091,6.999,0.14,-1,2.941,-1.011,-1.309,0.14,1,2.595,-0.675,-1.534,0.14,1,1.159,-0.144,-0.546,0.14,1,-0.718,0.145,0.293,0.14,1,3.267,-0.703,-0.869,0.14,-1,1.54,-0.728,-0.964,0.001,0,1.817,-0.028,-0.824,0.001,0,0.344,-0.061,-0.906,0,0
