# MinHFSum NPartMean NPartVar NCollMean NCollVar BMean BVar
2.928525878999999804e+03 3.936219176999999831e+02 1.248511695999999915e+01 1.747857422000000042e+03 1.277500610000000023e+02 1.875736475000000070e+00 7.881193160999999670e-01
2.642699707000000217e+03 3.689650879000000145e+02 1.675608253000000047e+01 1.567533691000000090e+03 1.510908355999999912e+02 3.018987178999999799e+00 7.264940738999999814e-01
2.397220702999999958e+03 3.423287354000000278e+02 1.753969765000000081e+01 1.388387817000000041e+03 1.472188720999999987e+02 3.916748047000000010e+00 6.112838983999999698e-01
2.181902832000000217e+03 3.164953613000000132e+02 1.885013580000000033e+01 1.231769043000000011e+03 1.474543151999999964e+02 4.633481502999999613e+00 6.089156865999999502e-01
1.976132935000000089e+03 2.934983214999999745e+02 1.972117233000000169e+01 1.098195678999999927e+03 1.449604186999999911e+02 5.231086731000000434e+00 5.994735359999999735e-01
1.797160033999999996e+03 2.719825438999999960e+02 2.071536445999999998e+01 9.804387817000000496e+02 1.434858246000000008e+02 5.760238171000000129e+00 5.882323980000000452e-01
1.632998900999999933e+03 2.496563415999999904e+02 1.907647705000000116e+01 8.616089478000000099e+02 1.288805542000000059e+02 6.302882194999999577e+00 5.401638149999999916e-01
1.481586792000000059e+03 2.305335541000000035e+02 1.689954566999999841e+01 7.660416870000000245e+02 1.133451842999999997e+02 6.753761768000000387e+00 4.874458610999999886e-01
1.342319091999999955e+03 2.122802277000000117e+02 1.568850136000000006e+01 6.765151366999999709e+02 1.038768386999999933e+02 7.186380863000000119e+00 4.660959243999999724e-01
1.214702759000000015e+03 1.945039367999999911e+02 1.526861571999999967e+01 5.934727782999999590e+02 9.725135803000000578e+01 7.613815783999999809e+00 4.673639238000000251e-01
1.094800414999999930e+03 1.785469359999999881e+02 1.363732146999999983e+01 5.219115600999999742e+02 8.585888672000000099e+01 8.000688552999999814e+00 4.421637951999999872e-01
9.830778808999999683e+02 1.632572936999999911e+02 1.355078029999999956e+01 4.565420531999999980e+02 8.157435608000000116e+01 8.370231628000000867e+00 4.509456754000000234e-01
8.826114502000000357e+02 1.490520324999999957e+02 1.249694442999999922e+01 3.985455933000000073e+02 7.288810730000000149e+01 8.729516982999999897e+00 4.449606836000000176e-01
7.896509399000000258e+02 1.359200286999999889e+02 1.121451283000000032e+01 3.466469420999999898e+02 6.442689513999999917e+01 9.064897537000000227e+00 4.329177141000000173e-01
7.047543944999999894e+02 1.232830581999999993e+02 1.079614924999999914e+01 2.993046570000000202e+02 5.826319122000000306e+01 9.399222374000000713e+00 4.350792766000000089e-01
6.256160277999999835e+02 1.116789780000000007e+02 9.675713539000000196e+00 2.583440246999999772e+02 5.206604767000000322e+01 9.717864990000000702e+00 4.298500121000000118e-01
