# iphi, ieta, value
12 7 0.724435
22 7 0.724435
32 7 0.724435
42 7 0.724435
12 8 0.942879
22 8 0.942879
32 8 0.942879
42 8 0.942879
12 9 1.09669
22 9 1.09669
32 9 1.09669
42 9 1.09669
50 7 2.24147
51 7 1.02406
52 7 0.890492
53 7 0.82946
54 7 0.822302
55 7 1
56 7 0.863241
57 7 0.812581
58 7 0.847257
59 7 0.824555
60 7 0.817702
61 7 0.767156
62 7 1
63 7 0.876391
64 7 0.78179
65 7 0.824269
50 8 2.57696
51 8 0.780379
52 8 0.944753
53 8 0.815452
54 8 0.874682
55 8 0.82302
56 8 0.83024
57 8 0.637016
58 8 0.788592
59 8 0.784333
60 8 0.884581
61 8 0.754563
62 8 1
63 8 0.809181
64 8 0.800273
65 8 0.786856
50 9 2.00583
51 9 1.06578
52 9 0.969267
53 9 1
54 9 0.899858
55 9 0.907203
56 9 0.890354
57 9 0.770375
58 9 0.846076
59 9 0.799635
60 9 0.849574
61 9 0.859587
62 9 1
63 9 0.759411
64 9 0.720071
65 9 0.840456
14 7 0.651388
24 7 0.651388
34 7 0.651388
44 7 0.651388
14 8 0.780688
24 8 0.780688
34 8 0.780688
44 8 0.780688
14 9 1.19508
24 9 1.19508
34 9 1.19508
44 9 1.19508
