#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
                6              12               1              HB 11.88780 12.33624 12.07034 12.43817   4200630C
                7              12               1              HB 11.18412 11.08951 11.23152 11.07222   4200638C
                8              12               1              HB 11.73181 12.10558 12.09654 11.76125   4200640C
                9              12               1              HB  9.76980 10.23457  9.81209 10.29071   4200648C
                6              13               1              HB 10.70946 10.73924 11.21413 11.08948   4200630D
                7              13               1              HB 10.02847 10.04031 10.29661 10.30178   4200638D
                8              13               1              HB 10.13940 10.27074 10.43050 10.41235   4200640D
                9              13               1              HB 10.63094 10.68198 10.66139 10.64628   4200648D
                6              14               1              HB 10.41877 10.99717 10.54994 11.00618   4200630E
                7              14               1              HB 10.06044 10.09548 10.16223 10.38064   4200638E
                8              14               1              HB 11.67260 11.85690 11.84462 11.78475   4200640E
                9              14               1              HB  9.97964 10.09700  9.87150 10.22333   4200648E
                6              15               1              HB 10.27927 10.37359 10.49644 11.08846   4200630F
                7              15               1              HB 11.17487 10.89041 11.19379 11.36546   4200638F
                8              15               1              HB 11.56156 11.84065 11.95901 11.96175   4200640F
                9              15               1              HB  9.77054  9.60664  9.97867  9.98052   4200648F
                6              22               1              HB 11.23865 10.94298 11.34887 11.23872   42006316
                7              22               1              HB 11.34048 11.56769 11.52671 11.54132   42006396
                8              22               1              HB 10.43436 10.35667 10.60097 10.17592   42006416
                9              22               1              HB 11.44450 11.36536 11.38415 11.44935   42006496
                6              23               1              HB 11.06723 11.34016 11.45694 11.08420   42006317
                7              23               1              HB 11.32224 11.17023 11.32545 11.03767   42006397
                8              23               1              HB 12.17304 12.16566 12.34264 12.25057   42006417
                9              23               1              HB 11.92614 12.05069 12.37520 11.94603   42006497
                6              24               1              HB 10.19607 10.09196 10.32071 10.38251   42006318
                7              24               1              HB 11.51142 11.62041 11.23056 11.56156   42006398
                8              24               1              HB 11.01164 10.90720 10.76824 10.73530   42006418
                9              24               1              HB 10.76302 10.90345 11.02067 10.94522   42006498
                6              25               1              HB 10.90400 10.92679 10.85665 10.73097   42006319
                7              25               1              HB  9.23916  9.36398  9.06994  9.29759   42006399
                8              25               1              HB 11.14259 11.27548 11.12771 11.27012   42006419
                9              25               1              HB 10.21858 10.13556 10.45819 10.57725   42006499
                6              32               1              HB 10.69989  9.80979 11.23277 10.15862   42006320
                7              32               1              HB 11.08003 10.54161 11.39239 10.59918   420063A0
                8              32               1              HB  9.71255  9.44970  9.97408  9.71664   42006420
                9              32               1              HB 10.64681 10.15603 10.79131 10.32757   420064A0
                6              33               1              HB 10.96027 10.82899 10.94715 10.90474   42006321
                7              33               1              HB 10.55931 10.66767 10.68078 10.63319   420063A1
                8              33               1              HB 10.92991 11.28685 11.45688 10.94543   42006421
                9              33               1              HB  9.92032 10.97669 10.96502 11.37325   420064A1
                6              34               1              HB 11.53136 10.91461 11.41513 11.25769   42006322
                7              34               1              HB 11.23600 11.37457 11.36130 11.49946   420063A2
                8              34               1              HB  9.79628  9.95068  9.66231 10.06037   42006422
                9              34               1              HB 11.41615 11.16551 11.25856 10.96110   420064A2
                6              35               1              HB 10.44568 10.46787 10.51907 10.29900   42006323
                7              35               1              HB 10.11039  9.64967 10.51896 10.10816   420063A3
                8              35               1              HB 10.90345 11.41440 10.74544 11.17306   42006423
                9              35               1              HB 10.74185 11.11521 10.92011 10.87541   420064A3
                6              42               1              HB 11.04421 11.58657 11.37541 11.87862   4200632A
                7              42               1              HB 11.13489 11.57699 10.75407 12.30632   420063AA
                8              42               1              HB 10.50277 10.36211 11.20962 10.40226   4200642A
                9              42               1              HB 11.75783 11.72825 11.91780 11.76457   420064AA
                6              43               1              HB 11.14103 11.37813 11.76408 11.36179   4200632B
                7              43               1              HB 11.39017 11.74950 11.83850 11.66393   420063AB
                8              43               1              HB 11.32401 11.58368 11.65456 12.21441   4200642B
